"annotation_id","annotator","created_at","id","label","lead_time","title","updated_at"
7,"1","2023-08-25T04:25:34.057216Z",549475,"[{""start"":0,""end"":17,""text"":""МРСК ЦиП и Центра"",""labels"":[""PROJECT""]},{""start"":72,""end"":79,""text"":""2668196"",""labels"":[""ID""]},{""start"":19,""end"":67,""text"":""Анализ переполнения памяти мобильного устройства"",""labels"":[""TITLE""]}]",120.37099999999998,"МРСК ЦиП и Центра. Анализ переполнения памяти мобильного устройства (SD 2668196)","2023-08-25T04:33:53.491122Z"
8,"1","2023-08-25T04:25:55.656577Z",774271,"[{""start"":17,""end"":218,""text"":""Необходимо доработать логику формирования акта «Проверка соответствия данных» в мобильном приложении «Цифровой контролер» в части подтверждения привязки к схеме сети учетного показателя (прибора учета)"",""labels"":[""TITLE""]},{""start"":12,""end"":16,""text"":""4990"",""labels"":[""ID""]},{""start"":1,""end"":9,""text"":""МОЭСК МС"",""labels"":[""PROJECT""]}]",73.46900000000001,"[МОЭСК МС] #4990 Необходимо доработать логику формирования акта «Проверка соответствия данных» в мобильном приложении «Цифровой контролер» в части подтверждения привязки к схеме сети учетного показателя (прибора учета)","2023-08-25T04:34:01.648770Z"
9,"1","2023-08-25T04:26:20.314071Z",793494,"[{""start"":17,""end"":177,""text"":""Необходимо реализовать возможность сбора через ЦК НСИ оборудования сбора и передачи данных, а также сведений, необходимых для оценки стоимости выполненных работ"",""labels"":[""TITLE""]},{""start"":12,""end"":16,""text"":""5184"",""labels"":[""ID""]},{""start"":1,""end"":9,""text"":""МОЭСК МС"",""labels"":[""PROJECT""]}]",58.721000000000004,"[МОЭСК МС] #5184 Необходимо реализовать возможность сбора через ЦК НСИ оборудования сбора и передачи данных, а также сведений, необходимых для оценки стоимости выполненных работ","2023-08-25T04:34:09.367064Z"
10,"1","2023-08-25T04:26:37.026182Z",709059,"[{""start"":18,""end"":44,""text"":""Не отображаются ПКЗ в КСП."",""labels"":[""TITLE""]},{""start"":10,""end"":17,""text"":""1038238"",""labels"":[""ID""]},{""start"":1,""end"":6,""text"":""МОЭСК"",""labels"":[""PROJECT""]}]",57.769,"[МОЭСК]#HD1038238 Не отображаются ПКЗ в КСП.","2023-08-25T04:34:18.382464Z"
11,"1","2023-08-25T04:26:51.503539Z",781957,"[{""start"":20,""end"":53,""text"":""Необходима выгрузка всех строк ТУ"",""labels"":[""TITLE""]},{""start"":12,""end"":19,""text"":""1764279"",""labels"":[""ID""]},{""start"":1,""end"":9,""text"":""МРСК ЦиП"",""labels"":[""PROJECT""]}]",53.867,"[МРСК ЦиП] #1764279 Необходима выгрузка всех строк ТУ","2023-08-25T04:34:26.530897Z"
12,"1","2023-08-25T04:27:12.635116Z",705620,"[{""start"":23,""end"":103,""text"":""Не меняется сетевая привязка и не садятся показания по актам - Корректировка НСИ"",""labels"":[""TITLE""]},{""start"":17,""end"":22,""text"":""51222"",""labels"":[""ID""]},{""start"":1,""end"":12,""text"":""МРСК СевКав"",""labels"":[""PROJECT""]}]",121.61099999999999,"[МРСК СевКав] #HD51222 Не меняется сетевая привязка и не садятся показания по актам - Корректировка НСИ","2023-08-25T04:34:36.759468Z"
13,"1","2023-08-25T04:27:41.536216Z",566491,"[{""start"":31,""end"":121,""text"":""В плане работ на ноябрь по Брянскому РЭС Брянскэнерго высвечивается плановая дата октября"",""labels"":[""TITLE""]},{""start"":22,""end"":29,""text"":""1274550"",""labels"":[""ID""]},{""start"":0,""end"":17,""text"":""МРСК ЦиП и Центра"",""labels"":[""PROJECT""]}]",269.201,"МРСК ЦиП и Центра.(SD 1274550) В плане работ на ноябрь по Брянскому  РЭС Брянскэнерго высвечивается плановая дата октября","2023-08-25T04:38:41.730229Z"
14,"1","2023-08-25T04:28:19.504947Z",729946,"[{""start"":17,""end"":63,""text"":""Вывод последних показаний в акт замены ПУ в ЦК"",""labels"":[""TITLE""]},{""start"":12,""end"":16,""text"":""4069"",""labels"":[""ID""]},{""start"":1,""end"":9,""text"":""МОЭСК МС"",""labels"":[""PROJECT""]}]",36.805,"[МОЭСК МС] #4069 Вывод последних показаний в акт замены ПУ в ЦК","2023-08-25T04:28:19.504997Z"
645,"1","2023-08-25T08:57:56.934647Z",725182,"[{""start"":17,""end"":90,""text"":""Необходимо реализовать определение кода ЛС МЭС из доп. поля в карточке ТУ"",""labels"":[""TITLE""]},{""start"":1,""end"":9,""text"":""МОЭСК МС"",""labels"":[""PROJECT""]},{""start"":12,""end"":16,""text"":""4519"",""labels"":[""ID""]}]",6.32,"[МОЭСК МС] #4519 Необходимо реализовать определение кода ЛС МЭС из доп. поля в карточке ТУ","2023-08-25T08:57:56.934703Z"
15,"1","2023-08-25T04:39:11.359680Z",666523,"[{""start"":13,""end"":49,""text"":""Шаблоны заданий не загружаются в АРМ"",""labels"":[""TITLE""]},{""start"":0,""end"":11,""text"":""[ЕЕ PЕ] ЦиП"",""labels"":[""PROJECT""]}]",9.802,"[ЕЕ PЕ] ЦиП. Шаблоны заданий не загружаются в АРМ","2023-08-25T04:39:11.359731Z"
16,"1","2023-08-25T04:39:22.130320Z",808985,"[{""start"":10,""end"":52,""text"":""Техническая поддержка. Мониторинг. 08.2023"",""labels"":[""TITLE""]},{""start"":0,""end"":9,""text"":""[МРСК СЗ]"",""labels"":[""PROJECT""]}]",8.913,"[МРСК СЗ] Техническая поддержка. Мониторинг. 08.2023","2023-08-25T04:39:22.130377Z"
17,"1","2023-08-25T04:39:43.835788Z",597043,"[{""start"":19,""end"":124,""text"":""При загрузке показаний через мобильный обходчик в кис балансе не отображается полное количество показаний"",""labels"":[""TITLE""]},{""start"":0,""end"":5,""text"":""МОЭСК"",""labels"":[""PROJECT""]},{""start"":10,""end"":16,""text"":""867272"",""labels"":[""ID""]}]",12.595,"МОЭСК (SD 867272). При загрузке показаний через мобильный обходчик в кис балансе не отображается полное количество показаний","2023-08-25T04:39:43.835840Z"
18,"1","2023-08-25T04:40:02.471125Z",725084,"[{""start"":35,""end"":93,""text"":""ТРП Архитектура системы. Устранение замечаний от Заказчика"",""labels"":[""TITLE""]},{""start"":0,""end"":34,""text"":""[ЕЕ PЕ] Россети-Тюмень.03.03.01.00"",""labels"":[""PROJECT""]}]",17.417,"[ЕЕ PЕ] Россети-Тюмень.03.03.01.00 ТРП Архитектура системы. Устранение замечаний от Заказчика","2023-08-25T04:40:02.471177Z"
19,"1","2023-08-25T04:40:27.911370Z",682235,"[{""start"":17,""end"":22,""text"":""50088"",""labels"":[""ID""]},{""start"":23,""end"":94,""text"":""Ошибка: в маршрутных листах отображаются показания с некорректной датой"",""labels"":[""TITLE""]},{""start"":1,""end"":12,""text"":""МРСК СевКав"",""labels"":[""PROJECT""]}]",24.263,"[МРСК СевКав] #HD50088 Ошибка: в маршрутных листах отображаются показания с некорректной датой","2023-08-25T04:40:27.911424Z"
20,"1","2023-08-25T04:40:42.097923Z",540610,"[{""start"":19,""end"":72,""text"":""В плане отображается больше работ, чем было загружено"",""labels"":[""TITLE""]},{""start"":0,""end"":17,""text"":""МРСК ЦиП и Центра"",""labels"":[""PROJECT""]},{""start"":78,""end"":85,""text"":""1185984"",""labels"":[""ID""]}]",13.011,"МРСК ЦиП и Центра. В плане отображается больше работ, чем было загружено. (SD 1185984)","2023-08-25T04:40:42.097973Z"
21,"1","2023-08-25T04:40:56.812950Z",671642,"[{""start"":16,""end"":134,""text"":""Запрос на изменение \""Необходимо исключить из справочника мест установки ПУ при формировании акта замены «Неизвестно».\"""",""labels"":[""TITLE""]},{""start"":1,""end"":6,""text"":""МОЭСК"",""labels"":[""PROJECT""]},{""start"":11,""end"":15,""text"":""4050"",""labels"":[""ID""]}]",13.513,"[МОЭСК] #HD4050 Запрос на изменение ""Необходимо исключить из справочника мест установки ПУ при формировании акта замены «Неизвестно».""","2023-08-25T04:40:56.813008Z"
22,"1","2023-08-25T04:41:19.824133Z",789675,"[{""start"":15,""end"":22,""text"":""1795516"",""labels"":[""ID""]},{""start"":23,""end"":70,""text"":""Не интегрируются во Флагман подтвержденные акты"",""labels"":[""TITLE""]},{""start"":1,""end"":9,""text"":""МРСК ЦиП"",""labels"":[""PROJECT""]}]",21.868,"[МРСК ЦиП] #HD 1795516 Не интегрируются во Флагман подтвержденные акты","2023-08-25T04:41:19.824186Z"
23,"1","2023-08-25T04:41:39.680879Z",611820,"[{""start"":19,""end"":93,""text"":""Ошибка: После обновления от 23.03.2022 АИС \""Мобильные сервисы\"" не работают"",""labels"":[""TITLE""]},{""start"":0,""end"":8,""text"":""МРСК СК "",""labels"":[""PROJECT""]},{""start"":12,""end"":17,""text"":""47115"",""labels"":[""ID""]}]",18.67,"МРСК СК (HD 47115) Ошибка: После обновления от 23.03.2022 АИС ""Мобильные сервисы"" не работают","2023-08-25T04:41:39.680937Z"
24,"1","2023-08-25T04:41:57.512153Z",784117,"[{""start"":0,""end"":18,""text"":""[МС] Россети Центр"",""labels"":[""PROJECT""]},{""start"":20,""end"":54,""text"":""Проведение обновления к 13.06.2023"",""labels"":[""TITLE""]}]",16.616,"[МС] Россети Центр. Проведение обновления к 13.06.2023","2023-08-25T04:41:57.512204Z"
25,"1","2023-08-25T04:42:19.355440Z",602702,"[{""start"":12,""end"":17,""text"":""46773"",""labels"":[""ID""]},{""start"":19,""end"":92,""text"":""Обнулились \""причины отклонения\"" и не позволяют снова рассмотреть задания"",""labels"":[""TITLE""]},{""start"":0,""end"":7,""text"":""МРСК СК"",""labels"":[""PROJECT""]}]",20.345,"МРСК СК (HD 46773) Обнулились ""причины отклонения""  и не позволяют снова рассмотреть задания.","2023-08-25T04:42:19.355491Z"
26,"1","2023-08-25T04:42:32.338205Z",647148,"[{""start"":10,""end"":23,""text"":""СК00-00344843"",""labels"":[""ID""]},{""start"":1,""end"":7,""text"":""КСК МС"",""labels"":[""PROJECT""]},{""start"":25,""end"":65,""text"":""Выгрузка действительных пользователей МО"",""labels"":[""TITLE""]}]",11.685,"[КСК МС] (СК00-00344843) Выгрузка действительных пользователей МО","2023-08-25T04:42:32.338256Z"
27,"1","2023-08-25T04:42:47.335101Z",695532,"[{""start"":1,""end"":7,""text"":""КСК МС"",""labels"":[""PROJECT""]},{""start"":22,""end"":86,""text"":""Предоставление прав доступа, смена пароля\/восстановление доступа"",""labels"":[""TITLE""]}]",13.767,"[КСК МС] ТП. 11.2022. Предоставление прав доступа, смена пароля/восстановление доступа ","2023-08-25T04:42:47.335155Z"
28,"1","2023-08-25T04:43:00.617144Z",564372,"[{""start"":22,""end"":112,""text"":""Ошибка: В ПК \""Мобильный обходчик\"" у пользователя Коновалова ЕП не удается составить АКП КП"",""labels"":[""TITLE""]},{""start"":0,""end"":11,""text"":""МРСК СевКав"",""labels"":[""PROJECT""]},{""start"":16,""end"":21,""text"":""44097"",""labels"":[""ID""]}]",12.102,"МРСК СевКав. HD-44097 Ошибка: В ПК ""Мобильный обходчик"" у пользователя Коновалова ЕП не удается составить АКП КП","2023-08-25T04:43:00.617198Z"
29,"1","2023-08-25T04:43:11.297544Z",591254,"[{""start"":8,""end"":24,""text"":""Замечания по ПСИ"",""labels"":[""TITLE""]},{""start"":0,""end"":6,""text"":""Казань"",""labels"":[""PROJECT""]}]",9.468,"Казань. Замечания по ПСИ","2023-08-25T04:43:11.297598Z"
